,title,image,recipe keys,personal points,calories,summary
246,Pickled Red Onions,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-pickled-onions-07.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Vegetarian Meals']",0,16,"These easy pickled red onions are delicious and versatile. They add a tangy, slightly sweet, and crunchy element to steaks, sandwiches, tacos, burrito bowls and more!"
247,Macaroni Salad with Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2009/05/Macaroni-Salad-with-Tomatoes-8.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",4,125,"This is the BEST Macaroni Salad made with tomatoes and black olives, and a simple creamy mayo-based dressing, a perfect summer side dish!"
248,How To Grill Corn on The Cob,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-how-to-grill-corn-on-the-cob-01.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",0,77,"Grilled corn on the cob is an easy, classic summer side dish and a great addition to summer barbecues, camping trips and gatherings. Here’s two ways to grill delicious corn on the cob!"
249,Blackened Grilled Salmon Skewers,https://www.skinnytaste.com/wp-content/uploads/2023/05/blackened-salmon-skewers-3-2.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Low Carb', 'Whole30 Recipes']",0,199,"You’ll be making these healthy, grilled Blackened Salmon Skewers all summer long! They’re spicy, smoky, and delicious."
250,Cilantro Lime Shrimp,https://www.skinnytaste.com/wp-content/uploads/2018/01/Cilantro-Lime-Shrimp-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",1,119,Cilantro Lime Shrimp is bursting with flavor and it takes about 10 minutes to make! Serve it over rice or tacos for an easy weeknight dinner!
251,The Best Grilled Chicken Breast,https://www.skinnytaste.com/wp-content/uploads/2023/05/Grilled-Chicken-Breast-3.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Meal Prep Recipes', 'Whole30 Recipes']",2,339,"This is my go-to grilled chicken breast recipe, it comes out so juicy and flavorful, perfect over salads, sandwiches, or for meal prep!"
252,Creamy Cucumber Salad,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Cucumber-Salad-6.jpg,"['Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",1,60,"This simple, four-ingredient Creamy Cucumber Salad, made with Greek yogurt and fresh dill, is one of my family’s favorite summer side dishes."
253,Blueberry Galette,https://www.skinnytaste.com/wp-content/uploads/2023/05/Blueberry-Galette-8.jpg,"['Dairy Free Recipes', 'Kid Friendly', 'Vegetarian Meals']",5,155,This easy blueberry galette is the perfect dessert to bake when fresh summer blueberries are in season or any time of the year. Using refrigerated pie dough makes it even faster!
254,Broccoli and Cheese Egg Muffins,https://www.skinnytaste.com/wp-content/uploads/2013/04/Broccoli-and-Cheese-Egg-Muffins-9.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",2,167,"I love making a batch of these easy make-ahead, high-protein Broccoli and Cheese Egg Muffins for meal prep or breakfast on the go."
255,Air Fryer Sweet Potato Fries,https://www.skinnytaste.com/wp-content/uploads/2017/12/sweetpotatofries-07.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",5,221,These healthy air fryer sweet potato fries are perfectly seasoned and made with just a small amount of oil! Perfect with burgers!
256,"Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios",https://www.skinnytaste.com/wp-content/uploads/2023/05/Pesto-Pasta-Salad-7.jpg,"['High-Fiber Recipes', 'Vegetarian Meals']",9,380,"This healthy Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios is fresh, bright, and absolutely delicious! Eat it warm or cold!"
257,Red Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",2,107,This easy Baby Red Potato Salad recipe is light on the mayonnaise. A delicious BBQ side dish you will make all summer!
258,Grilled Potatoes,https://www.skinnytaste.com/wp-content/uploads/2012/06/grilled-potatoes.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",5,172,These crispy grilled potatoes are golden brown and delicious! An easy summer side dish to go along with anything you’re grilling!
259,Lentil Curry,https://www.skinnytaste.com/wp-content/uploads/2023/05/Lentil-Curry-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Pressure Cooker Recipes', 'Vegetarian Meals']",0,216,"This easy lentil curry made with curry powder, garam masala, and other spices is perfect over white rice or cauliflower rice as a vegan or vegetarian main or side dish."
260,Hot Dog Onions,https://www.skinnytaste.com/wp-content/uploads/2023/05/Hot-Dog-Onions-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",1,64,"Smoky, tangy, and delicious, this is my mom’s recipe for saucy Hot Dog Onions. They’re my favorite way to top my franks, and they only take about 15 minutes to make!"
261,Creamy Orzo with Asparagus and Peas,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Orzo-with-Asparagus-and-Peas-7-1.jpg,"['Dairy Free Recipes', 'High-Fiber Recipes', 'Vegetarian Meals']",10,423,"This delicious, creamy orzo pasta dish with asparagus and peas is fresh, bright, and lemony – the perfect spring dinner. Plus, it’s vegan and dairy-free."
262,High-Protein Cottage Cheese Veggie Dip with Za’atar,https://www.skinnytaste.com/wp-content/uploads/2023/05/High-Protein-Cottage-Cheese-Veggie-Dip-5.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",3,186,High Protein Cottage Cheese Veggie Dip with Za’atar is a delicious and healthy snack that’s easy to make and perfect for any time of day. A great way to get those veggies in!
263,Artichoke Dip,https://www.skinnytaste.com/wp-content/uploads/2010/12/Skinny-Artichoke-Dip-7.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",2,73.7,"This creamy, delicious artichoke dip is hot and cheesy baked with Parmesan and mozzarella cheese topped with golden breadcrumbs. Perfect appetizer with baked chips!"
264,Spicy Shrimp Francese with Calabrian Chili,https://www.skinnytaste.com/wp-content/uploads/2023/05/Spicy-Shrimp-Francese-with-Calabrian-Chili-7.jpg,"['High Protein Recipes', 'Low Carb']",4,256,Spicy Shrimp Francese with Calabrian Chili is a seafood dish combining traditional Italian Francese sauce with spicy Calabrian chili peppers.
265,Yogurt-Marinated Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/05/Yogurt-Marinated-Chicken-6.jpg,"['Air Fryer Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb']",7,314,Easy Yogurt-Marinated Chicken made with grilled boneless chicken thighs (or chicken breasts) made in a Greek yogurt marinade for the most tender chicken.
266,English Muffin Breakfast Sandwich,https://www.skinnytaste.com/wp-content/uploads/2023/05/English-Muffin-Egg-Sandwich-10.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",5,242,"This easy English Muffin Breakfast Sandwich with turkey bacon, egg and cheese is my go-to egg sandwich and the best way to start the morning!"
267,Best Guacamole Recipe,https://www.skinnytaste.com/wp-content/uploads/2017/01/Guacamole-2.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",2,93,"This is the Best Guacamole Recipe, and it’s so easy to make! A healthy vegetarian dip to serve it with chips, tacos, tostones, chicken enchiladas, and more."
268,The BEST Chicken Enchilada Recipe,https://www.skinnytaste.com/wp-content/uploads/2011/08/Gina-Skinny-Chicken-Enchiladas-4-3.jpg,"['High-Fiber Recipes', 'Kid Friendly']",4,168,"The BEST Chicken enchilada recipe! These easy chicken enchiladas are made with shredded chicken, cheese and my homemade enchilada sauce."
269,Pico de Gallo,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",0,36.5,"Pico de gallo is a fresh salsa made from diced tomatoes, onion, and peppers, perfect for serving over tacos, burritos, bowls, or to eat with chips!"
270,Shrimp Tacos,https://www.skinnytaste.com/wp-content/uploads/2023/05/shrimp-tacos-1.jpg,"['Air Fryer Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Under 30 Minutes']",6,288,These healthy shrimp tacos with slaw are easy and delicious! Served on a warm tortilla with a delicious shrimp taco sauce.
271,Greek Tofu Bowls,https://www.skinnytaste.com/wp-content/uploads/2023/05/Greek-Tofu-Bowl-9.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Vegetarian Meals']",8,485,"Greek Tofu Bowls feature crispy, baked breaded tofu cutlets over a bed of fresh cucumbers, tomatoes and peppers in a light dressing."
272,Angel Hair Pasta with Shrimp and Tomato Cream Sauce,https://www.skinnytaste.com/wp-content/uploads/2010/01/Angel-Hair-with-Shrimp-and-Tomato-Sauce-6.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes']",6,377,"Angel hair pasta with shrimp and tomato sauce is made with a touch of cream, white wine and a hint of lemon. A quick weeknight dinner idea!"
273,Lasagna Roll Ups With Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2023/04/Cottage-Cheese-Lasagna-Rolls-6.jpg,"['Gluten Free', 'High Protein Recipes', 'Vegetarian Meals']",11,462,"These easy, delicious, high-protein Cottage Cheese Lasagna Roll Ups are vegetarian and perfect weeknight dinners."
274,Air Fryer Salmon Patties,https://www.skinnytaste.com/wp-content/uploads/2023/04/Air-Fryer-Salmon-Patties-8.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Meal Prep Recipes']",4,314,These Air Fryer Salmon Patties are great for using leftover salmon or canned salmon and turning it into something delicious.
275,Mexican Shrimp Cobb Salad,https://www.skinnytaste.com/wp-content/uploads/2011/07/Mexican-Cobb-Salad-1-4.jpg,"['Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes']",3,267.5,"Mexican Shrimp Cobb Salad is a beautifully layered salad with shrimp, avocados, grilled corn, black bean salsa, cucumbers, tomatoes and cheese."
276,Roasted Strawberry Almond Flour Muffins,https://www.skinnytaste.com/wp-content/uploads/2023/04/Roasted-Strawberry-Almond-Flour-Muffins-8.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",6,164,"These gluten-free Roasted Strawberry Almond Flour Muffins are delicious and light, made with Greek yogurt, oat flour, and almond flour."
277,Fiesta Bean Salad,https://www.skinnytaste.com/wp-content/uploads/2013/04/Fiesta-Bean-Salad-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",3,335,"Fiesta Bean Salad is made with black beans, chick peas, tomatoes, cilantro and avocado tossed with a cumin-lime vinaigrette."
278,Ground Beef and Broccoli Stir Fry,https://www.skinnytaste.com/wp-content/uploads/2023/04/Ground-Beef-and-Broccoli-8.jpg,"['Dairy Free Recipes', 'High Protein Recipes', 'High-Fiber Recipes']",8,327,This easy Ground Beef and Broccoli stir-fry is perfect when you need a quick weeknight dinner!
279,Roasted Mushrooms with Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/04/Roasted-Mushroom-Medley-with-Parmesan-5.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",3,120,These easy oven roasted mushrooms can be made with any variety of mushrooms – just make sure to keep the slices a similar size so they roast evenly.
280,Huevos Pericos,https://www.skinnytaste.com/wp-content/uploads/2008/03/Huevos-Pericos-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",1,155,"Huevos pericos are a traditional Colombian breakfast dish made with scrambled eggs, tomatoes, and scallions."
281,Chicken Satay with Spicy Peanut Sauce,https://www.skinnytaste.com/wp-content/uploads/2016/06/Grilled-Chicken-Satay-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb']",4,265,"These easy, flavorful Thai-inspired chicken satay skewers are marinated in coconut milk and spices and then grilled and served with a delicious spicy peanut sauce for dipping."
282,Open Faced Tuna Sandwich with Avocado,https://www.skinnytaste.com/wp-content/uploads/2019/01/Open-Faced-Tuna-Sandwich-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes']",3,247,My favorite way to make a tuna sandwich is open-faced with a veggie-loaded tuna salad topped with avocado and sprouts. A quick and easy healthy lunch idea.
283,Ropa Vieja,https://www.skinnytaste.com/wp-content/uploads/2023/03/Instant-Pot-Ropa-Vieja-10.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Pressure Cooker Recipes']",7,350,"Ropa Vieja is a Cuban dish made with shredded beef that has been slowly cooked with onions, peppers, olives, tomato sauce, and spices like cumin and oregano."
284,Green Smoothie Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/04/Green-Smoothie-Bowl-5.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",7,404,This easy Green Smoothie Bowl is a tasty and nutritious breakfast that’s customizable and packed with healthy ingredients that will keep you feeling great all morning!
285,How To Make a Colorful Crudite Platter,https://www.skinnytaste.com/wp-content/uploads/2023/04/ColorfulCruditesFull.jpg,"['Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",,,A crudites platter is a beautiful and delicious way to serve fresh vegetables as an appetizer or a snack for any holiday or gathering.
286,Carrot Cake Recipe with Cream Cheese Frosting,https://www.skinnytaste.com/wp-content/uploads/2010/03/Carrot-Cake-1-3.jpg,"['Kid Friendly', 'Vegetarian Meals']",9,216,"Here’s a super moist, Carrot Cake Recipe with Pineapples and Cream Cheese Frosting, perfect for Easter or anytime of the year."
287,Air Fryer Rotisserie Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/04/Rotisserie-Style-Air-Fryer-Whole-Chicken-7.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Whole30 Recipes']",,,Air Fryer Rotisserie-Style Chicken comes out perfectly juicy with golden crispy skin that is ready to eat in under an hour!
288,Insanely Good Blueberry Oatmeal Muffins,https://www.skinnytaste.com/wp-content/uploads/2012/03/Blueberry-Oatmeal-Muffins-10.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Kid Friendly', 'Vegetarian Meals']",4,127,"These Blueberry Oatmeal Muffins are insanely good! Hard to believe they are light. Think baked oatmeal, but in the form of a muffin!"
289,20-Minute Veggie Lo Mein Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/04/20-Minute-Lo-Mein-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",9,354,"This quick and easy, 20-Minute Veggie Lo Mein Bowl is perfect if you need a healthy vegetarian or vegan dinner idea!"
290,Roasted Carrots,https://www.skinnytaste.com/wp-content/uploads/2022/12/Herb-Roasted-Carrots-1-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Vegetarian Meals', 'Whole30 Recipes']",2,106,"These easy Roasted Carrots with bake in the oven with garlic and fresh herbs like thyme, and parsley. They’re a healthy side dish that goes well with any protein, like lamb, roasted chicken or turkey."
291,Artichoke Pie,https://www.skinnytaste.com/wp-content/uploads/2023/03/Artichoke-Pie-10.jpg,[],7,229,This 7-ingredient Artichoke Pie recipe is perfect for Easter or Mother’s Day brunch or as a light meal with a salad.
292,Ground Turkey with Potatoes and Spring Peas,https://www.skinnytaste.com/wp-content/uploads/2011/05/Ground-Turkey-with-Potatoes_1-8.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Whole30 Recipes']",6,209,"Ground Turkey with Potatoes and Spring Peas, cumin and cilantro makes a quick and easy weeknight dinner."
293,Italian Sub Broccoli Salad,https://www.skinnytaste.com/wp-content/uploads/2023/03/Italian-Sub-Broccoli-Spoon-Salad-5.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",9,373,"This Italian broccoli salad is loaded with your favorite Italian hero fillings, like salami, ham, pepperoncini, mozzarella, and provolone. A flavorful make-ahead lunch!"
294,5-Ingredient Salmon Salad (easy lunch idea),https://www.skinnytaste.com/wp-content/uploads/2023/03/Salmon-Salad-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",1,139,"You’ve tried tuna salad and chicken salad, but have you ever eaten salmon salad? You can make this healthy high-protein lunch with leftover salmon or poach it in the microwave in two minutes!"
295,Baked Shrimp Parmesan Hero,https://www.skinnytaste.com/wp-content/uploads/2011/09/Shrimp-Parmigiana-Hero-9.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",11,433,"You’ve had Chicken Parmesan, but have you ever tried a Shrimp Parmesan Hero? So good, made with baked breaded shrimp marinara and mozzarella."
296,Parmesan Asparagus Fries,https://www.skinnytaste.com/wp-content/uploads/2023/03/Parmesan-Asparagus-Fries-6.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,110,"These crisp, golden, and delicious Parmesan asparagus fries are a tasty way to eat your veggies! Bake them in the oven or make them in the air fryer!"
297,Broiled Tilapia Oreganata,https://www.skinnytaste.com/wp-content/uploads/2008/03/Broild-Tilapia-Oreganata-7.jpg,"['Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes']",2,219,Broiled Tilapia Oreganata is my favorite way to make tilapia when I’m craving fish for a quick weeknight meal.
298,Hash Brown Egg White Nests,https://www.skinnytaste.com/wp-content/uploads/2011/06/Hash-Brown-Egg-White-Nests-7.jpg,['Gluten Free'],2,134,"These tasty, protein-packed hash brown egg white nests are a great way to start your day off right, and an easy make-ahead breakfast!"
299,Tofu Poke Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/03/Tofu-Poke-Bowl-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Vegetarian Meals']",7,520,"If you want a tasty plant-based dinner, you’ll love these vegan Tofu Poke Bowls that replace tuna poke with tofu."
300,Broccoli Cheddar Soup,https://www.skinnytaste.com/wp-content/uploads/2023/03/Broccoli-Cheddar-Soup-8.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",7,242,"This classic Broccoli Cheddar Soup recipe is a delicious, comforting soup that can be enjoyed year-round for lunch or dinner. "
301,Baked Salmon Cakes,https://www.skinnytaste.com/wp-content/uploads/2013/12/Baked-Salmon-Cakes-10.jpg,['Gluten Free'],3,87,"These healthy baked salmon cakes are perfect as an appetizer with my zesty avocado dressing, or make it a meal with salad, roasted veggies or rice on the side. A great way to use up leftover salmon!"
302,Classic Chicken Salad Recipe,https://www.skinnytaste.com/wp-content/uploads/2008/07/Classic-Chicken-Salad-4.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes']",1,131,"My quick and easy, classic chicken salad recipe made healthier and lighter to make the perfect homemade chicken salad sandwich. The perfect cold lunch for meal prep!"
303,Turkey Shepherd’s Pie Stuffed Sweet Potato,https://www.skinnytaste.com/wp-content/uploads/2023/03/Shepherds-Pie-Stuffed-Sweet-Potato-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Kid Friendly', 'Meal Prep Recipes']",9,401,"Inspired by my Shepherd’s Pie, I made an easy and healthy, stuffed sweet potato topped with ground turkey shepherds pie filling – it came out great!"
304,Filipino Chicken Adobo,https://www.skinnytaste.com/wp-content/uploads/2010/11/Filipino-Adobo-Chicken-1-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb']",6,175,"Filipino Chicken Adobo, the national dish of the Philippines is the most delicious chicken braised in vinegar, soy sauce and lots of garlic."
305,Linguini and Shrimp Fra Diavolo,https://www.skinnytaste.com/wp-content/uploads/2012/05/Linguine-and-Shrimp-Fra-Diavolo-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes']",7,385,"You’ll love this spicy, Italian-American Shrimp dish served over linguini, perfect for seafood lovers!"
306,Honey-Mustard Air Fryer Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2023/02/Air-Fryer-Honey-Mustard-Pork-Chops-4.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Freezer Meals', 'Gluten Free']",8,241,"These crispy Honey-Mustard Air Fryer Pork Chops are marinated in honey mustard, breaded with panko, and air fried until golden."
307,Tropical Chia Pudding Breakfast Bowl (High Protein),https://www.skinnytaste.com/wp-content/uploads/2023/02/Tropical-Chia-Pudding-Breakfast-Bowl-9.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Kid Friendly', 'Meal Prep Recipes', 'Vegetarian Meals']",5,305,"This easy, high-protein, Tropical Chia Pudding Breakfast Bowl is creamy and delicious, made with chia seeds, Greek yogurt, mango and kiwi."
308,Short Rib Soup (Instant Pot or Stove),https://www.skinnytaste.com/wp-content/uploads/2023/03/Short-Rib-Soup-10.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Pressure Cooker Recipes']",8,206,This Asian-inspired Short Rib Soup with mushrooms and Swiss chard is cozy and hits the spot when you’re craving a comforting soup.
309,"30-Minute Shrimp, Peas and Rice",https://www.skinnytaste.com/wp-content/uploads/2009/05/Shrimp-Peas-_-Rice-9.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",9,346,"This 30-minute Shrimp, Peas and Rice dish is a family favorite dinner! It’s quick to cook and requires no chopping, easy prep!!"
310,"Honey Sriracha Roasted Salmon Rice Bowls (GF, DF)",https://www.skinnytaste.com/wp-content/uploads/2023/02/Honey-Sriracha-Roasted-Salmon-Bowls-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Under 30 Minutes']",8,506,"These 10-minute roasted salmon rice bowls and made with bite sized pieces of honey-sriracha salmon, cucumbers and avocado. So delicious!"
311,Wild Mushroom and Farro Soup,https://www.skinnytaste.com/wp-content/uploads/2023/02/Wild-Mushroom-_-Farro-Soup-3.jpg,"['Freezer Meals', 'High-Fiber Recipes', 'Meal Prep Recipes']",8,331,"You’ll love this hearty, healthy and filling wild mushroom and farro soup recipe that eats like a meal!"
312,Cabbage Soup with Chicken and Pork,https://www.skinnytaste.com/wp-content/uploads/2009/02/Cabbage-Soup-with-Chicken-and-Pork-6.jpg,"['Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'Low Carb']",4,217,"This hearty cabbage soup with chicken, pork and lots of vegetables is a simple one pot meal."
313,"Spicy Gochujang Tofu Bowl (Vegan, Gluten-Free)",https://www.skinnytaste.com/wp-content/uploads/2023/02/Spicy-Gochujang-Tofu-Bowls-6.jpg,"['Dairy Free Recipes', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Vegetarian Meals']",9,473,"If you want to turn a non-tofu lover into a believer, crumble it up! This vegan Spicy Gochujang Tofu Bowl is loaded with protein, veggies, and tons of flavor!"
314,Air Fryer Salmon with Maple Soy Glaze (5 Ingredients),https://www.skinnytaste.com/wp-content/uploads/2019/08/Air-Fryer-Salmon-with-Maple-Soy-Glaze-4.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",3,292,Air Fryer Salmon with Maple Soy Glaze is a quick and easy way to cook salmon with just 5 ingredients! Delicious and cooks in under 10 minutes!
315,Chicken Divan,https://www.skinnytaste.com/wp-content/uploads/2010/12/Lightened-Up-Chicken-Divan-8.jpg,"['Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly']",5,387,"This lightened up Chicken Divan made from scratch with no canned soups. Just layers of tender chicken breast and broccoli in a flavorful creamy, cheese sauce topped with golden breadcrumbs."
316,Air Fryer Breaded Cubed Steak,https://www.skinnytaste.com/wp-content/uploads/2023/02/Air-Fryer-Breaded-Cubed-Steak-11.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'High Protein Recipes', 'Under 30 Minutes']",6,328,"This breaded cubed steak recipe (bistec empanizado) is a Puerto Rican staple, and making it in the air fryer is easy and healthier!"
317,Chicken Tenders Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/02/Chicken-Fingers-Parmesan-Casserole-10.jpg,"['High Protein Recipes', 'Kid Friendly']",6,376,"Quick and easy to prepare, this Baked Chicken Tenderloin Parmesan is a family-friendly weeknight dish, prepared with just a handful of simple ingredients. One of my all-time favorite chicken tenderloin recipes!"
318,Perfect Filet Mignon for Two,https://www.skinnytaste.com/wp-content/uploads/2015/02/filet-mignon.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",6,246,"Learn how to cook the perfect filet Mignon with this easy, foolproof recipe to make at home – great for date night!"
319,High Protein Egg White Muffins with Turkey Bacon,https://www.skinnytaste.com/wp-content/uploads/2023/02/Egg-White-Muffins-with-Turkey-Bacon-Cottage-Cheese-and-Veggies-8.jpg,"['Gluten Free', 'High Protein Recipes', 'Low Carb', 'Meal Prep Recipes']",2,144,"Meal prep these delicious, high-protein Egg White Muffins with turkey bacon, cottage cheese, and veggies for a quick breakfast on the go!"
320,Buffalo Chicken Dip,https://www.skinnytaste.com/wp-content/uploads/2010/02/Slow-Cooker-Buffalo-Chicken-Dip-3.jpg,"['Gluten Free', 'Low Carb', 'Slow Cooker Recipes', 'Under 30 Minutes']",3,121,"This Buffalo Chicken Dip has everything you love about buffalo wings, only made into a dip – the perfect party appetizer, no messy hands! Make it in the oven with a rotisserie chicken or from scratch in the slow cooker."
321,Chocolate Brownie Date Balls,https://www.skinnytaste.com/wp-content/uploads/2023/02/Chocolate-Brownie-Date-Balls-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",5,153,"These Chocolate Date Balls are perfect when you need that sweet chocolate fix. Made with Medjool dates, pumpkin, and cocoa powder they’re rich, sweet, and offer a great afternoon energy boost. No-bake and easy to prepare!"
